id,title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies
758323,The Pope's Exorcist,4/5/2023,"['Horror', 'Mystery', 'Thriller']",English,7.4,619,5089.969,18000000,"['Screen Gems', '2.0 Entertainment', 'Jesus & Mary', 'Worldwide Katz', 'Loyola Productions', 'FFILME.RO']"
640146,Ant-Man and the Wasp: Quantumania,2/15/2023,"['Action', 'Adventure', 'Science Fiction']",English,6.6,2294,4665.438,200000000,"['Marvel Studios', 'Kevin Feige Productions']"
502356,The Super Mario Bros. Movie,4/5/2023,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy']",English,7.5,1861,3935.55,100000000,"['Universal Pictures', 'Illumination', 'Nintendo']"
868759,Ghosted,4/18/2023,"['Action', 'Comedy', 'Romance']",English,7.2,652,2791.532,0,"['Skydance Media', 'Apple Studios']"
594767,Shazam! Fury of the Gods,3/15/2023,"['Action', 'Comedy', 'Fantasy', 'Adventure']",English,6.8,1510,2702.593,125000000,"['New Line Cinema', 'The Safran Company', 'DC Films', 'Warner Bros. Pictures']"
76600,Avatar: The Way of Water,12/14/2022,"['Science Fiction', 'Adventure', 'Action']",English,7.7,7853,2280.912,460000000,"['20th Century Studios', 'Lightstorm Entertainment']"
447365,Guardians of the Galaxy Volume 3,5/3/2023,"['Science Fiction', 'Adventure', 'Action']",English,8.3,683,2520.308,250000000,"['Marvel Studios', 'Kevin Feige Productions']"
934433,Scream VI,3/8/2023,"['Horror', 'Mystery', 'Thriller']",English,7.3,1029,1862.283,35000000,"['Radio Silence', 'Project X Entertainment', 'Spyglass Media Group', 'Paramount']"
677179,Creed III,3/1/2023,"['Drama', 'Action']",English,7.3,1298,1894.044,75000000,"['Metro-Goldwyn-Mayer', 'Proximity Media', 'Balboa Productions', 'Outlier Society Productions', 'Chartoff-Winkler Productions']"
493529,Dungeons & Dragons: Honor Among Thieves,3/23/2023,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,964,1655.052,151000000,"['Entertainment One', 'Paramount', 'Allspark Pictures', 'Sierra/Affinity']"
948713,The Last Kingdom: Seven Kings Must Die,4/14/2023,"['Action', 'Adventure', 'History', 'Drama', 'War']",English,7.3,317,1436.725,0,['Carnival Films']
420808,Peter Pan & Wendy,4/20/2023,"['Family', 'Fantasy', 'Action', 'Adventure']",English,5.9,277,1358.468,0,"['Walt Disney Pictures', 'Whitaker Entertainment']"
